T,No,L,B,D,T,DWT,SC,OP,GP,WP,CREW,WD,TLWT,Total_flange,30,40,50,60,70,80,90
training,1,214.7,38,23.7,18,88326,0.56,0.06,12,0.25,50,105,6200,780,9,68,177,240,179,75,32
training,2,214.7,38.2,22.2,16,60000,0.42,0.057,53,0.057,77,84,2500,471,8,37,97,150,122,41,16
training,3,232,41.5,23.5,16,92800,0.58,0.089,38,0.122,60,126,6000,637,8,49,139,203,154,60,24
training,4,273,50,28,18.8,180000,1.4,0.003,35,0.174,84,366,11000,939,12,94,181,292,236,93,31
training,5,276.4,45,26.6,19.7,105000,0.94,0.22,840,0.063,116,320,15000,1036,13,93,211,324,252,105,38
training,6,300,59.6,30.5,22.8,343000,2,0.27,280,0.18,140,1400,23500,1053,9,103,212,317,269,109,34
training,7,285,60,32.3,24.4,340660,2.2,0.25,400,0.525,100,1180,23000,1081,19,108,218,341,257,102,36
training,8,296,63,32.3,24,375600,2.2,0.21,340,0.15,100,1220,30000,1259,9,125,255,397,310,121,42
training,9,312.4,60,33.2,24.3,329000,2,0.24,280,0.265,190,1365,30000,1160,20,108,251,333,297,114,37
training,10,305.1,58,32,23.4,312500,2,0.225,170,0.1,70,1030,22000,1169,18,106,241,350,312,111,31
training,11,260,46,25.8,18.5,142000,0.9,0.1,80,0.1,80,390,8000,712,10,63,135,242,168,69,25
training,12,319,58,31,23.4,360000,1.77,0.24,400,0.45,120,1310,24000,1048,15,94,213,315,272,102,37
training,13,320,58.4,32,24,337859,2.2,0.25,450,0.12,100,1462,35000,1248,16,103,255,414,292,126,42
training,14,310,61,30.5,23.5,321000,2,0.225,530,0.42,240,1325,37000,1337,15,116,304,412,307,128,55
training,15,320,61,32,24.7,353200,2,0.18,176.6,0.1,180,750,27700,1005,17,79,206,320,261,87,35
training,16,250.2,34,19.1,12.8,43276,0.28,0.14,100,0.12,70,450,4500,539,7,41,117,172,131,51,20
training,17,253,42,23.2,15,103000,0.6,0.07,110,0.022,55,85,5000,609,8,61,117,190,153,60,20
training,18,334.9,43.7,27.7,21.4,228033,1.5,0.1,52,0.02,76,383,3500,492,6,44,100,154,120,50,18
training,19,245.4,39.6,20.6,14.7,94238,0.65,0.035,100,0.018,85,75,1900,374,3,37,75,113,95,39,12
training,20,362,60,28.3,23,356400,1.3,0.081,75,0.05,100,700,4500,575,10,57,116,182,137,54,19
training,21,271.8,46,26.6,18,150000,0.94,0.13,150,0.18,80,120,12000,1093,8,108,222,345,269,105,36
training,22,271,44,22.4,17,138900,1.04,0.08,85,0.032,100,70,5500,670,11,62,145,193,172,66,21
training,23,337,54.5,27,21,273191,2,0.15,162,0.2,100,785,14000,1079,17,98,223,323,287,102,29
training,24,328.6,54.5,27,21,273622,1,0.15,210,0.251,194,1035,14000,1087,15,96,207,369,256,105,39
training,25,217.2,38,23,17,85943,0.45,0.1,75,0.3,90,113,6000,637,9,57,130,191,165,62,23
training,26,325,61,32.5,25.6,320000,1.9,0.22,150,0.382,240,800,32000,1299,17,107,266,430,304,131,44
training,27,346.3,57.3,28.5,22.9,322911,2,0.14,35,0.325,46,1200,14000,1039,12,90,236,321,239,99,42
training,28,295,50.6,29,19.9,128000,0.95,0.085,671,0.02,126,350,16000,1141,20,90,234,361,297,99,40
training,29,271.7,46,26.6,18.2,148192,0.95,0.08,53,0.06,89,134,12000,1096,14,84,239,348,266,104,41
training,30,242.3,42,21.1,14.9,105000,0.66,0.06,85,0.065,96,350,4500,516,7,52,99,160,130,51,17
test,A,285 ,60 ,32 ,24 ,340660 ,2 ,0 ,400 ,1 ,100 ,1010 ,23000 ,1085 ,14,98,221,339,264,110,39
test,B,319 ,56 ,30 ,20 ,255271 ,2 ,0 ,71 ,0 ,110 ,1260 ,14500 ,1019 ,9,100,205,306,260,106,33
test,C,305 ,61 ,32 ,24 ,350000 ,2 ,0 ,250 ,0 ,240 ,1200 ,37478 ,1371 ,24,137,277,432,327,129,45